PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE
中山堂	2010/06/25	14:00	115	開幕片, 里約嘉年華 - 當代嚴選	精銳部隊	Elite Squad	輔PG		20
中山堂	2010/06/25	19:00	105	開幕片, 競賽 - 國際青年導演競賽, 競賽 - 台北電影獎 / 劇情長片	第四張畫	The Fourth Potrait	護P	★	20
中山堂	2010/06/26	11:00	102	花 Young 次世代	隨身聽男孩	1981	普G		71
中山堂	2010/06/26	13:30	130	世紀回眸：田中絹代	映畫女優	Actress	護P	▲	40
中山堂	2010/06/26	17:00	101	里約嘉年華 - 新電影經典	再見巴西	Bye Bye Brazil	限R		24
中山堂	2010/06/26	19:30	90	觀摩 - 亞洲大不同	愛在巴黎另一端	Five Hours from Paris	普G		66
中山堂	2010/06/27	11:00	107	觀摩 - 新加坡初體驗	藍色豪門生死鬥	The Blue Mansion	普G	▲	69
中山堂	2010/06/27	14:30	105	觀摩 - 城市物語	少年希特勒	Mein Kampf	護P		60
中山堂	2010/06/27	17:30	90	觀摩 - 亞洲大不同	黎巴嫩	Lebanon	輔PG		67
中山堂	2010/06/27	20:00	80	里約嘉年華 - 當代嚴選	窗外的謊言	Through the Window	普G		29
中山堂	2010/06/28	11:00	81	競賽 - 國際青年導演競賽	親親小鬼頭	Eamon	普G		42
中山堂	2010/06/28	13:30	84	競賽 - 國際青年導演競賽, 競賽 - 台北電影獎 / 劇情長片	台北星期天	Pinoy Sunday	普G	★	44
中山堂	2010/06/28	16:30	116	競賽 - 國際青年導演競賽	破碎的秘密	Last Cowboy Standing	普G	★	43
中山堂	2010/06/28	20:00	97	競賽 - 國際青年導演競賽	沒有男人，女人更美	Women Without Men	限R		45
中山堂	2010/06/29	10:30	116	競賽 - 國際青年導演競賽	荒島‧愛	Castaway on the Moon	普G	★	42
中山堂	2010/06/29	14:00	81	競賽 - 國際青年導演競賽	足球開戰	Kick Off	普G	★	43
中山堂	2010/06/29	17:00	80	競賽 - 國際青年導演競賽	等爸爸的孩子	Susa	普G	★	44
中山堂	2010/06/29	19:30	118	觀摩 - 亞洲大不同	東京同棲生活	Parade	輔PG	▲★	67
中山堂	2010/06/30	13:30	86	競賽 - 國際青年導演競賽	歡迎光臨宅男王國	Phobidilia	限R	★	44
中山堂	2010/06/30	16:30	96	競賽 - 國際青年導演競賽	R	R	輔PG	★	44
中山堂	2010/06/30	19:30	92	競賽 - 台北電影獎 / 劇情長片	父後七日	Seven Days in Heaven	輔PG	★	48
中山堂	2010/07/01	12:00	100	競賽 - 國際青年導演競賽	最後的逃亡	Last Ride	護P		43
中山堂	2010/07/01	14:30	84	競賽 - 國際青年導演競賽	我的爸爸是麥可	Boy	普G	★	42
中山堂	2010/07/01	17:30	136	競賽 - 台北電影獎 / 紀錄片	一閃一閃亮晶晶	Twinkle Twinkle Little Stars	普G	★	51
