PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE
新光 3 廳	2009/11/10	13:00	80	(影迷嘉年華) 名家饗宴	甜蜜衝擊	Sweet Rush	普G		45
新光 3 廳	2009/11/10	14:50	104	(影迷嘉年華) 名家饗宴	峇里生之舞	Under the Tree	普G		46
新光 3 廳	2009/11/10	17:00	101	(奇幻世界) 魔幻時刻	靈魂冷凍庫	Cold Souls	普G		119
新光 3 廳	2009/11/10	19:10	85	(奇幻世界) 魔幻時刻	魔幻女兒國	Tears for Sale	輔PG		120
新光 3 廳	2009/11/10	21:00	95	(酷電影) 我是傳奇	羅美雪妮黛未完成	Inferno	輔PG		86
新光 3 廳	2009/11/11	12:00	97	(影迷嘉年華) 年度熱門電影	樂透美國夢	Amreeka	普G		53
新光 3 廳	2009/11/11	14:10	87	(酷電影) 經典重現	此情可問天	Ask My Love from God	普G	▲	90
新光 3 廳	2009/11/11	16:10	100	(焦點影人) 轉眼人生： 市川準	人生最後一站	Dyingat a Hospital	普G		98
新光 3 廳	2009/11/11	18:30	114	(影迷嘉年華) 年度熱門電影	維榮之妻—櫻桃與蒲公英	Villon's Wife	普G		55
新光 3 廳	2009/11/11	21:30	142	(奇幻世界) 泰瑞吉蘭異世界	巴西	Brazil	限R		130
新光 3 廳	2009/11/12	11:00	100	(影迷嘉年華) 青春紀事	囧爸爸	Go Get Some Rosemary	普G		61
新光 3 廳	2009/11/12	13:20	107	(酷電影) 經典重現	狂人皮埃洛	Pierrot le Fou	護PG		89
新光 3 廳	2009/11/12	15:40	115	(影迷嘉年華) 年度熱門電影	警察，形容詞	Police, Adjective	護PG		51
新光 3 廳	2009/11/12	18:10	114	(影迷嘉年華) 年度熱門電影	維榮之妻—櫻桃與蒲公英	Villon's Wife	普G	★	55
新光 3 廳	2009/11/12	21:10	94	(影迷嘉年華) 來自海上的聲音-東南亞焦點	森靈	Nymph	輔PG		57
新光 3 廳	2009/11/13	14:30	114	(影迷嘉年華) 年度熱門電影	維榮之妻—櫻桃與蒲公英	Villon's Wife	普G	★	55
新光 3 廳	2009/11/13	17:00	140	(焦點影人) 獨立製片的先行者： 約翰卡薩維蒂	大丈夫	Husbands	輔PG		94
新光 3 廳	2009/11/13	20:00	113	(酷電影) 性別越界	母獅的牢籠	Lion's Den	普G		80
新光 3 廳	2009/11/13	22:30	115	(影迷嘉年華) 名家饗宴	四月之淚	Tears of April	輔PG		48
新光 3 廳	2009/11/14	11:00	107	(酷電影) 經典重現	狂人皮埃洛	Pierrot le Fou	護PG		89
新光 3 廳	2009/11/14	13:30	97	(影迷嘉年華) 年度熱門電影	樂透美國夢	Amreeka	普G		53
新光 3 廳	2009/11/14	15:40	100	(影迷嘉年華) 青春紀事	囧爸爸	Go Get Some Rosemary	普G		61
新光 3 廳	2009/11/14	17:50	109	(焦點影人) 獨立製片的先行者： 約翰卡薩維蒂	暗殺中國賭徒事件	The Killingof a Chinese Bookie	輔PG		93
新光 3 廳	2009/11/14	20:10	90	(影迷嘉年華) 名家饗宴	天堂五分鐘	Five Minutes of Heaven	輔PG		49
新光 3 廳	2009/11/14	22:10	90	(影迷嘉年華) 來自海上的聲音-東南亞焦點	高潮滿座	Service	限R		59
新光 3 廳	2009/11/15	12:30	72	(影迷嘉年華) 流浪到世界盡頭	汽車墳場	Carcasses	普G		64
新光 3 廳	2009/11/15	14:10	95	(焦點影人) 轉眼人生： 市川準	醜女	Bu Su	普G	▲	99
新光 3 廳	2009/11/15	16:20	141	(焦點影人) 獨立製片的先行者： 約翰卡薩維蒂	暗湧	Love Streams	護PG		92
新光 3 廳	2009/11/15	19:10	107	(酷電影) 經典重現	狂人皮埃洛	Pierrot le Fou	護PG		89
新光 3 廳	2009/11/15	21:30	167	(焦點影人) 寶萊塢的莫札特：A. R. 拉曼	我心深處	Dil Se	普G		107
新光 3 廳	2009/11/16	11:00	222	(焦點影人) 寶萊塢的莫札特：A. R. 拉曼	榮耀之役	Laggan	普G		106
新光 3 廳	2009/11/16	15:10	80	(影迷嘉年華) 名家饗宴	甜蜜衝擊	Sweet Rush	普G		45
新光 3 廳	2009/11/16	17:00	94	(影迷嘉年華) 來自海上的聲音-東南亞焦點	森靈	Nymph	輔PG		57
新光 3 廳	2009/11/16	19:00	85	(奇幻世界) 魔幻時刻	魔幻女兒國	Tears for Sale	輔PG		120
新光 3 廳	2009/11/16	21:00	100	(影迷嘉年華) 青春紀事	囧爸爸	Go Get Some Rosemary	普G		61
新光 3 廳	2009/11/17	12:30	95	(焦點影人) 轉眼人生： 市川準	醜女	Bu Su	普G	▲	99
新光 3 廳	2009/11/17	14:30	104	(影迷嘉年華) 名家饗宴	峇里生之舞	Under the Tree	普G		46
新光 3 廳	2009/11/17	16:50	72	(影迷嘉年華) 流浪到世界盡頭	汽車墳場	Carcasses	普G		64
新光 3 廳	2009/11/17	18:30	115	(影迷嘉年華) 名家饗宴	四月之淚	Tears of April	輔PG		48
