PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE
國賓影城＠長春廣場 A 廳	11/11	10:00	128	影迷嘉年華 / 亞洲爭鳴	落KEY人生	Key of Life	護		120
國賓影城＠長春廣場 A 廳	11/11	12:50	87	影迷嘉年華 / 非洲心聲	無人歌頌的懺悔	The Repentant	輔		133
國賓影城＠長春廣場 A 廳	11/11	15:00	90	影迷嘉年華 / 歐洲速寫	拼貼幸福	Broken	輔		141
國賓影城＠長春廣場 A 廳	11/11	17:10	110	影迷嘉年華 / 拉丁狂熱	我的雙面童年	Clandestine Childhood	護		171
國賓影城＠長春廣場 A 廳	11/11	19:40	102	特別放映	寒戰	Cold War	輔	★▲	44
國賓影城＠長春廣場 A 廳	11/11	22:00	114	次文化派對 / 午夜禁地	一千零一魘	Horror Stories	限		190
新光影城 2 廳	11/11	10:00	79	次文化派對 / 動畫王國	熊熊遇見小小鼠	Ernest & Celestine	普		216
新光影城 2 廳	11/11	12:00	79	次文化派對 / 動畫王國	找死專賣店	The Suicide Shop	護		217
新光影城 2 廳	11/11	14:00	169	次文化派對 / 性別越界	在愛裡	In the Family	護	★	178
新光影城 2 廳	11/11	18:30	129	影迷嘉年華 / 拉丁狂熱	七日哈瓦那	7 Days In Havana	限		166
新光影城 2 廳	11/11	21:20	134	影迷嘉年華 / 名家饗宴	愛與誠	For Love&#39;s Sake	輔	▲	112
新光影城 3 廳	11/11	12:20	110	焦點影人 / 荻上直子	吉貓出租	Rent-a-Cat	普		251
新光影城 3 廳	11/11	14:50	80	次文化派對 / 音樂啟示錄	安朱鳥：發燒年代	Andrew Bird: Fever year	普		194
新光影城 3 廳	11/11	16:50	71	次文化派對 / 動畫集錦：童趣樂園	一顆偷偷落下的魚眼淚	Una Furtiva Lagrima	護		219
新光影城 3 廳	11/11	19:00	84	次文化派對 / 變奏青春	婊妹 Online	King Kelly	限	★	184
新光影城 3 廳	11/11	21:40	84	次文化派對 / 動畫集錦：瘋狂世界	偉哉吾兔	The Great Rabbit	輔		220
光點華山電影館1廳	11/11	12:20	99	華語電影世界 / 中國獨立映像	告訴他們，我乘白鶴去了	Fly with the Crane	普		91
光點華山電影館1廳	11/11	14:40	110	影迷嘉年華 / 亞洲爭鳴	浪漫暴走族	Hard Romanticker	限		118
光點華山電影館1廳	11/11	17:10	52	次文化派對 / 經典影事	英格麗褒曼vs. 安娜麥蘭妮	Bergman & Magnani: The War of Volcanoes	護		210
光點華山電影館1廳	11/11	19:50	107	次文化派對 / 變奏青春	少年犯	Juvenile Offender	護		187
光點華山電影館1廳	11/11	22:20	93	次文化派對 / 傳奇人生	維多：電影外的同志	Vito	護		205
光點華山電影館 2 廳	11/11	12:00	120	次文化派對 / 音樂啟示錄	在浮城的角落唱首歌	On The Edge of A Floating City, We Sing	普		199
光點華山電影館 2 廳	11/11	17:10	52	次文化派對 / 經典影事	英格麗褒曼vs. 安娜麥蘭妮	Bergman & Magnani: The War of Volcanoes	護		210
光點華山電影館 2 廳	11/11	19:50	107	次文化派對 / 變奏青春	少年犯	Juvenile Offender	護		187
光點華山電影館 2 廳	11/11	22:20	93	次文化派對 / 傳奇人生	維多：電影外的同志	Vito	護		205
宜蘭演藝廳	11/11	10:40	78	次文化派對 / 動畫王國	麥兜．噹噹伴我心	McDull．The Pork of Music	普		218
宜蘭演藝廳	11/11	12:30	107	入圍影片	消失的子彈	The Bullet Vanishes	輔		66
